"Gene","logFC","AveExpr","P.Value","adj.P.Val"
"LOC90586",1.356,3.242,5.73e-07,0.00973
"C11orf86",1.183,3.335,2.37e-06,0.0202
"SLC35F2",-0.682,8.05,9.34e-06,0.0525
"FAM46C",-1.863,8.317,1.24e-05,0.0525
"VPS37C",0.607,11.103,1.57e-05,0.0535
"ADH1A",2.345,3.663,4.01e-05,0.114
"CPSF1",-0.745,10.713,5.02e-05,0.122
"GIT2",0.49,12.233,8.15e-05,0.173
"FAM131A",0.47,11.252,0.000103,0.183
"MICAL3",-0.777,8.365,0.000116,0.183
"SAP18",-0.372,14.105,0.00015,0.183
"PAPPA",0.904,3.38,0.00015,0.183
"DOK3",0.544,12.918,0.00016,0.183
"FEZ2",0.946,11.664,0.000164,0.183
"RBM38",-0.594,11.677,0.000166,0.183
"ZFYVE26",0.597,11.425,0.000191,0.183
"SHOX2",0.756,4.259,0.00026,0.183
"LASS6",0.479,11.334,0.000268,0.183
"E2F6",0.541,9.523,0.000272,0.183
"GJC2",0.385,7.002,0.000298,0.183
"ZNF562",0.51,9.553,0.000317,0.183
"SPATA5L1",0.52,10.169,0.000336,0.183
"STK35",-0.887,6.612,0.000341,0.183
"IK",-0.25,13.507,0.000341,0.183
"CHCHD4",0.483,10.321,0.000348,0.183
"ZNF746",0.381,12.239,0.00035,0.183
"BCKDHB",-0.672,8.875,0.000352,0.183
"TMEM150",0.253,11.209,0.000354,0.183
"CRLS1",0.343,12.012,0.000368,0.183
"LY6G6C",1.132,4.85,0.000388,0.183
"CRYBG3",0.507,9.175,0.000397,0.183
"UCKL1",-0.431,9.323,0.000397,0.183
"SETD7",0.721,7.359,4e-04,0.183
"LOC100130433",1.485,4.287,0.000414,0.183
"P2RY10",-0.654,7.435,0.000448,0.183
"AKAP8L",-0.418,12.138,0.000466,0.183
"CRK",0.513,8.386,0.000469,0.183
"C11orf80",-1.181,4.38,0.000474,0.183
"AQP7",1.116,3.639,0.000491,0.183
"EIF5A",-0.691,10.164,0.000537,0.183
"ZNF828",0.599,7.656,0.000547,0.183
"TXNDC15",0.308,11.304,0.000551,0.183
"ZMYM4",0.391,9.086,0.000555,0.183
"PRKAR2A",-0.445,6.855,0.000557,0.183
"PTN",0.777,3.205,0.000563,0.183
"FAM118B",0.521,8.901,0.000586,0.183
"LSM3",-0.362,12.511,0.000593,0.183
"BRD4",-0.643,9.668,0.000611,0.183
"SLC25A39",-0.584,11.002,0.000624,0.183
"TRIM24",0.362,11.864,0.000629,0.183
"ZNF555",0.494,9.121,0.000629,0.183
"WWC3",-0.481,12.952,0.000633,0.183
"ENTPD2",0.489,8.284,0.000654,0.183
"MTMR14",0.237,14.6,0.000655,0.183
"GFM2",0.446,10.943,0.000674,0.183
"SLC27A1",0.491,12.735,0.000683,0.183
"AMDHD2",-0.517,7.661,0.00071,0.183
"PEG10",-1.061,3.438,0.000725,0.183
"DNAJB12",0.368,11.385,0.000731,0.183
"EZR",-0.643,13.062,0.000731,0.183
"SUPT5H",-0.451,11.315,0.000734,0.183
"DUX3",-1.185,3.532,0.000772,0.183
"TMEM222",-0.436,10.046,0.000792,0.183
"BCMO1",1.247,3.885,0.000795,0.183
"ATP6V0A1",0.511,12.592,0.000801,0.183
"UBE2D2",-0.316,11.365,0.000804,0.183
"CSHL1",0.979,3.949,0.000816,0.183
"RNF38",-0.451,9.682,0.000839,0.183
"DPF3",-0.868,7.051,0.00084,0.183
"FN3K",1.434,4.479,0.000857,0.183
"TRAPPC4",0.404,11.675,0.000877,0.183
"JMJD4",-0.507,9.2,0.000885,0.183
"KLHL25",0.63,9.873,0.000895,0.183
"C1orf52",0.382,9.809,0.000904,0.183
"CPVL",0.581,13.168,0.000905,0.183
"BCL2L1",-0.668,7.88,0.000911,0.183
"ZNF322B",1.009,7.645,0.000913,0.183
"PAGE2",-1.883,5.218,0.000929,0.183
"COL8A2",0.783,8.289,0.000936,0.183
"SFTPB",1.232,4.002,0.00094,0.183
"RWDD4A",-0.289,9.255,0.000959,0.183
"PPAPDC3",0.725,8.211,0.000992,0.183
"C15orf23",0.648,9.797,0.000993,0.183
"GPS2",-0.41,9.168,0.000995,0.183
"FAM127A",0.32,12.66,0.001,0.183
"LOC152217",-0.391,13.905,0.00101,0.183
"CDK5RAP2",-0.309,10.404,0.00102,0.183
"C1orf38",0.421,15.718,0.00104,0.183
"DDIT3",-0.52,7.804,0.00105,0.183
"UBB",-0.186,17.319,0.00106,0.183
"FADD",0.749,12.024,0.00108,0.183
"MCM2",-0.463,9.984,0.00109,0.183
"TPD52",-0.714,9.897,0.0011,0.183
"C7orf10",1.116,3.888,0.0011,0.183
"CCL28",-0.623,6.42,0.00111,0.183
"GTF3A",-0.301,13.871,0.00112,0.183
"ZNF710",0.438,11.545,0.00113,0.183
"HOXB13",0.951,4.219,0.00114,0.183
"GSK3B",-0.468,9.875,0.00114,0.183
"REEP3",0.529,10.549,0.00116,0.183
"PMF1",-0.429,10.881,0.00117,0.183
"SCN9A",1.035,4.032,0.0012,0.183
"C10orf116",1.045,5.247,0.0012,0.183
"POGK",0.392,10.108,0.0012,0.183
"PPHLN1",-0.299,11.306,0.00122,0.183
"NDUFA1",-0.339,13.649,0.00123,0.183
"SLC41A1",-0.433,8.478,0.00123,0.183
"AMICA1",0.396,15.943,0.00124,0.183
"SBDS",-0.679,10.445,0.00125,0.183
"FBXO28",0.428,8.75,0.00126,0.183
"ZBTB6",1.332,5.851,0.00127,0.183
"BRI3",0.343,16.058,0.0013,0.183
"FAM127B",0.233,12.934,0.00131,0.183
"LOC285074",-0.463,10.844,0.00131,0.183
"FTSJ2",0.297,9.368,0.00132,0.183
"PEX11B",0.39,10.232,0.00132,0.183
"C8orf59",-0.534,6.129,0.00133,0.183
"CBLL1",-0.425,8.84,0.00134,0.183
"C17orf59",0.331,14.068,0.00135,0.183
"TGM7",0.781,3.469,0.00135,0.183
"TCP11L2",-0.701,7.189,0.00136,0.183
"LOC391282",0.943,12.543,0.00138,0.183
"C1orf43",0.387,12.549,0.00138,0.183
"EMILIN2",0.435,14.801,0.0014,0.183
"TMPRSS4",1.525,3.755,0.00141,0.183
"OSBPL11",0.55,11.343,0.00142,0.183
"KPNB1",0.34,13.708,0.00143,0.183
"LILRB3",0.498,15.762,0.00144,0.183
"DECR2",-0.47,10.061,0.00144,0.183
"SETDB1",0.309,12.696,0.00145,0.183
"HPDL",-0.554,7.134,0.00146,0.183
"TPK1",0.384,11.172,0.00147,0.183
"YEATS4",-0.515,10.206,0.00148,0.183
"GCGR",0.917,4.287,0.00149,0.183
"ZNF320",0.773,7.851,0.00149,0.183
"GUSB",0.247,13.99,0.0015,0.183
"NUBP1",0.371,10.543,0.00151,0.183
"LOC647065",-0.417,9.799,0.00152,0.183
"PRRC1",-0.497,9.227,0.00152,0.183
"LOC100128180",-0.99,4.369,0.00152,0.183
"P53AIP1",0.967,4.983,0.00152,0.183
"FAM115C",-0.676,7.888,0.00154,0.183
"CAPRIN1",0.513,12.11,0.00157,0.183
"APAF1",0.793,8.347,0.00158,0.183
"GTF2H1",0.334,9.728,0.0016,0.183
"BIN1",-0.429,12.071,0.00161,0.183
"PKIG",-0.825,8.251,0.00162,0.183
"BOP1",-0.372,11.178,0.00162,0.183
"TMEM59L",1.371,3.748,0.00162,0.183
"ZFAT",0.557,11.163,0.00163,0.183
"DNAJB6",-0.427,13.506,0.00163,0.183
"TRIM11",0.241,13.081,0.00164,0.183
"GPR39",1.049,4.098,0.00165,0.183
"PPAPDC1B",-0.375,9.431,0.00167,0.184
"ARCN1",0.333,10.552,0.0017,0.185
"NCRNA00162",0.643,4.393,0.0017,0.185
"LRP10",-0.241,13.213,0.00173,0.185
"NLRC4",0.752,11.236,0.00175,0.185
"LOC100132941",-0.99,8.957,0.00176,0.185
"WTAP",0.432,11.321,0.00177,0.185
"HEBP1",0.35,13.451,0.00179,0.185
"SMAD3",-0.432,10.594,0.00179,0.185
"KIAA1328",-0.455,6.315,0.00181,0.185
"DNM2",-0.294,12.205,0.00181,0.185
"FAM57B",0.506,5.334,0.00183,0.185
"FBXL20",0.642,6.332,0.00184,0.185
"ZBTB3",0.776,9.815,0.00186,0.185
"SIK2",-0.534,6.472,0.00186,0.185
"VIM",0.423,16.922,0.00187,0.185
"LOC650405",-1.068,10.168,0.00188,0.185
"ACAP1",-0.6,10.606,0.00188,0.185
"VPREB3",-0.956,8.64,0.00188,0.185
"DUSP12",-0.317,12.042,0.00189,0.185
"CRADD",-0.377,10.083,0.00189,0.185
"WNK4",1.122,4.05,0.00191,0.185
"C19orf68",-0.366,11.734,0.00191,0.185
"SIPA1",-0.44,12.96,0.00194,0.185
"RASGEF1C",0.596,4.942,0.00195,0.185
"GPR123",0.52,3.224,0.00195,0.185
"TBC1D8",0.657,10.901,0.00196,0.185
"SNORA70",-0.671,10.268,0.00197,0.185
"GPR132",0.87,10.158,0.002,0.186
"SWAP70",-0.43,10.32,0.00201,0.186
"CPNE1",-0.872,10.505,0.00201,0.186
"LEPROTL1",0.607,12.741,0.00202,0.186
"SUB1",-0.261,13.923,0.00204,0.186
"SLC6A18",0.476,5.572,0.00205,0.186
"PPP2R1A",-0.331,10.608,0.00209,0.188
"IMP4",-0.249,10.893,0.00209,0.188
"MED15",-0.453,10.29,0.00211,0.189
"IMMP1L",-0.405,7.953,0.00214,0.19
"NANP",0.613,6.085,0.00215,0.19
"H1FX",-0.571,11.643,0.0022,0.192
"SLA",0.732,13.841,0.0022,0.192
"TICAM1",0.361,13.012,0.00222,0.192
"AATF",-0.292,12.07,0.00222,0.192
"ERI3",-0.471,6.82,0.00223,0.192
"P2RX5",-0.909,10.728,0.00224,0.192
"FLJ10404",-0.352,9.472,0.00232,0.192
"DIRAS2",0.449,3.085,0.00234,0.192
"BRUNOL4",0.369,7.282,0.00234,0.192
"CIRBP",-0.511,13.689,0.00236,0.192
"TOMM5",-0.204,12.454,0.00237,0.192
"LOC732215",-1.379,5.787,0.00238,0.192
"NPAS2",1.005,3.514,0.00238,0.192
"RPL22L1",-0.478,13.93,0.0024,0.192
"LOC389458",-0.977,7.521,0.0024,0.192
"KIAA1324L",-1.12,7.204,0.00241,0.192
"C9orf98",-1.107,4.177,0.00241,0.192
"MYCL1",0.771,4.08,0.00242,0.192
"MGC26597",1.699,4.815,0.00243,0.192
"CTNNBL1",-0.325,10.364,0.00244,0.192
"NPB",-0.448,7.361,0.00244,0.192
"HIST1H2AA",0.928,6.094,0.00244,0.192
"CMTM3",0.271,14.904,0.00246,0.192
"FAM78A",0.347,12.918,0.00248,0.192
"TOR1AIP1",0.392,9.63,0.00248,0.192
"SF3B2",-0.251,13.355,0.00249,0.192
"PDCL",0.404,10.332,0.00251,0.192
"ATP6V0E2",-0.519,8.205,0.00251,0.192
"ZNF776",0.57,6.788,0.00253,0.192
"UBQLN1",0.365,11.129,0.00254,0.192
"RHBDD2",-0.386,10.053,0.00254,0.192
"ZMYM5",-0.352,8.299,0.00256,0.192
"BLK",-1.044,10.598,0.00256,0.192
"OLFML1",0.636,4.374,0.00256,0.192
"HERC2P2",0.442,10.217,0.00258,0.193
"ATXN7L1",-0.451,8.848,0.00258,0.193
"TOP1P2",0.445,8.945,0.00262,0.193
"ETFDH",0.526,10.476,0.00262,0.193
"PPP2CB",0.271,12.793,0.00268,0.193
"SELI",-0.474,8.068,0.00269,0.193
"APBA1",0.675,3.283,0.0027,0.193
"THAP8",0.385,10.112,0.00271,0.193
"GRIK3",1.312,3.742,0.00272,0.193
"C3orf22",1.223,5.502,0.00272,0.193
"MAML1",0.422,12.077,0.00273,0.193
"KBTBD11",0.381,12.499,0.00273,0.193
"C21orf2",-0.532,9.132,0.00273,0.193
"YIPF6",0.304,10.764,0.00274,0.193
"PLA2G2F",0.59,3.559,0.00275,0.193
"TOMM40",-0.349,10.116,0.00275,0.193
"POLA1",-0.307,9.368,0.00277,0.193
"NDUFAF1",0.406,11.606,0.00278,0.193
"RUVBL1",-0.366,8.052,0.0028,0.194
"RALY",-0.296,11.342,0.00282,0.194
"SLC38A5",-0.379,9.059,0.00282,0.194
"IGK@",-1.215,12.373,0.00285,0.194
"CCDC117",0.441,10.677,0.00286,0.194
"ZSWIM3",0.992,7.555,0.00288,0.194
"PTTG2",-0.415,8.139,0.00288,0.194
"HNRNPK",-0.333,12.951,0.00288,0.194
"FUSIP1",0.254,11.794,0.00289,0.194
"ZBTB44",-0.408,10.948,0.00291,0.195
"BCDIN3D",0.943,9.875,0.00294,0.196
"EXTL1",0.39,3.168,0.00296,0.196
"NARG1",0.405,6.965,0.00299,0.196
"FBXO18",-0.314,9.549,0.00299,0.196
"CCDC59",-0.425,12.287,0.003,0.196
"BUD13",0.659,12.124,0.00302,0.196
"SLC6A16",-0.564,7.376,0.00304,0.196
"C17orf68",-0.431,9.276,0.00305,0.196
"ZNF639",-0.402,9.424,0.00305,0.196
"GJB3",0.396,6.457,0.00306,0.196
"ZFAND2A",-0.542,9.507,0.00306,0.196
"KIAA0564",-0.564,7.318,0.00307,0.196
"EHBP1",-0.466,7.203,0.00309,0.196
"PAQR8",0.825,9.514,0.0031,0.196
"FLJ36031",-0.309,10.162,0.00312,0.196
"MMP16",0.801,3.439,0.00312,0.196
"TMEM57",0.291,8.226,0.00314,0.196
"DISP1",-0.404,7.311,0.00315,0.196
"NHP2",-0.258,11.558,0.00315,0.196
"NUP62",0.343,13.973,0.00317,0.196
"RFWD2",0.264,11.626,0.00319,0.197
"ARD1A",-0.301,10.135,0.00325,0.2
"IGKC",-1.075,10.62,0.00328,0.2
"LASS4",-0.54,8.637,0.00329,0.2
"SPAG5",-0.364,8.456,0.00329,0.2
"IDH3G",-0.409,11.103,0.0033,0.2
"DRP2",0.868,3.473,0.00333,0.2
"ARRDC4",0.508,9.769,0.00333,0.2
"ARRDC2",-0.421,12.255,0.00333,0.2
"CDS2",0.384,10.083,0.00336,0.201
"SNRPB",-0.275,11.351,0.00337,0.201
"ZNF772",1.035,4,0.0034,0.201
"PPT1",0.488,15.001,0.0034,0.201
"CSTF1",0.457,10.334,0.00344,0.203
"MAP4K1",-0.481,10.876,0.00349,0.204
"LOC729742",-0.217,15.897,0.00349,0.204
"CAB39L",-0.61,6.787,0.00349,0.204
"CD69",-1.241,11.864,0.00351,0.204
"PPP3CC",-0.41,12.135,0.00353,0.204
"RFC4",-0.272,10.633,0.00354,0.204
"ABP1",1.108,4.302,0.00356,0.204
"GALNAC4S-6ST",0.57,12.354,0.00356,0.204
"CCRL2",0.851,8.359,0.00358,0.205
"LOC645000",-0.364,14.976,0.00361,0.205
"RABEPK",-0.339,10.608,0.00362,0.205
"NDUFB11",-0.374,11.713,0.00363,0.205
"PKDREJ",1.139,3.545,0.00368,0.206
"ASNSD1",0.298,11.719,0.00369,0.206
"NAGS",0.622,8.984,0.0037,0.206
"ZNF853",-0.635,6.481,0.00371,0.206
"SLC25A24",0.435,11.678,0.00372,0.206
"MFAP1",0.84,10.605,0.00372,0.206
"STXBP2",-0.45,9.428,0.00376,0.207
"RIMBP3",0.831,9.906,0.00376,0.207
"TM9SF2",0.269,12.538,0.00378,0.207
"HMGCR",0.692,10.656,0.00381,0.207
"B3GALT4",0.328,12.59,0.00381,0.207
"EP400NL",-0.521,6.781,0.00381,0.207
"LSM14A",-0.406,12.927,0.00382,0.207
"IGHG1",-1.093,8.646,0.00384,0.208
"LOC400464",-0.585,6.2,0.00385,0.208
"PPP1R16B",-0.405,11.102,0.00388,0.208
"ZNF646",0.374,11.462,0.0039,0.209
"RPS9",-0.359,15.229,0.00394,0.211
"LOC63920",1.341,4.324,0.00399,0.212
"ASCC2",-0.322,9.35,0.004,0.212
"C18orf54",0.794,5.59,0.004,0.212
"SDCCAG8",-0.314,8.433,0.00404,0.212
"VHL",0.323,16.986,0.00404,0.212
"PHC3",-0.5,8.948,0.00407,0.212
"CLEC12A",0.725,10.59,0.00407,0.212
"PRKCE",-0.505,8.361,0.00407,0.212
"EDEM3",0.41,11.535,0.00408,0.212
"NCF2",0.427,15.083,0.00413,0.212
"ALDH18A1",-0.375,9.637,0.00416,0.212
"CALHM2",0.556,11.874,0.00416,0.212
"CTAGE5",0.248,10.13,0.00422,0.212
"CENPQ",0.665,8.776,0.00422,0.212
"CSTF2T",0.49,10.117,0.00423,0.212
"MAD1L1",-0.61,11.247,0.00424,0.212
"FOXK2",-0.259,10.707,0.00425,0.212
"NAIF1",0.223,11.197,0.00426,0.212
"KCTD12",0.639,11.751,0.00427,0.212
"ANKRD27",0.332,9.44,0.00427,0.212
"LOC440498",-0.585,8.476,0.00428,0.212
"NLN",0.959,7.226,0.00429,0.212
"GORASP2",-0.25,11.815,0.0043,0.212
"HERC2",-0.367,9.648,0.00431,0.212
"SP2",-0.258,8.521,0.00432,0.212
"C9orf78",-0.23,12.151,0.00432,0.212
"UPF1",0.403,12.762,0.00434,0.212
"UBA1",-0.327,10.394,0.00436,0.212
"CREB5",0.524,9.927,0.00436,0.212
"ZHX1",0.356,9.391,0.00436,0.212
"ZNF251",-0.445,6.98,0.00441,0.212
"KIAA0562",0.39,10.393,0.00442,0.212
"TM6SF1",0.589,8.895,0.00443,0.212
"RRAS2",-0.644,8.38,0.00446,0.212
"PHF23",0.561,10.878,0.00448,0.212
"ALS2CR4",-0.543,7.102,0.00448,0.212
"PLEKHG4B",0.794,4.805,0.0045,0.212
"NSF",0.362,11.842,0.00451,0.212
"WDR34",-0.533,8.797,0.00453,0.212
"NDC80",-0.328,9.35,0.00453,0.212
"RGS1",-1.687,9.953,0.00454,0.212
"RANBP6",0.33,7.532,0.00454,0.212
"ZNF296",-0.424,6.857,0.00455,0.212
"NAT6",-0.561,8.008,0.00455,0.212
"SRM",-0.293,10.762,0.00457,0.212
"GYPC",-0.375,11.22,0.00457,0.212
"YKT6",-0.267,11.752,0.00458,0.212
"GPS1",-0.361,11.518,0.00459,0.212
"C10orf84",-0.335,11.64,0.0046,0.212
"IGLL3",-1.114,12.869,0.00464,0.212
"PARP16",-0.25,9.022,0.00464,0.212
"PSMC4",-0.307,11.264,0.00465,0.212
"MTP18",-0.609,9.324,0.00465,0.212
"IDH1",0.527,10.583,0.00467,0.212
"RPL23AP7",0.306,16.09,0.00468,0.212
"MLX",0.259,10.613,0.00468,0.212
"PDE4D",-1.145,6.991,0.00468,0.212
"MRLC2",-0.195,15.414,0.00471,0.212
"CSK",-0.287,11.925,0.00473,0.212
"C20orf106",-0.478,9.313,0.00474,0.212
"OR52B2",0.56,3.278,0.00474,0.212
"NOL7",-0.211,13.922,0.00475,0.212
"PHF15",-0.335,10.015,0.00476,0.212
"SDCCAG10",-0.259,10.505,0.00479,0.213
"BET1L",-0.344,9.393,0.0048,0.213
"MYH9",-0.305,14.067,0.00481,0.213
"FAM50B",0.768,9.012,0.00486,0.213
"EP400",-0.503,9.681,0.00487,0.213
"CECR2",0.464,6.442,0.00488,0.213
"RBM27",-0.418,10.356,0.00488,0.213
"TARDBP",0.472,13.618,0.00489,0.213
"MIZF",0.317,11,0.00491,0.213
"MED22",0.268,12.956,0.00492,0.213
"ZBTB24",-0.914,10.531,0.00494,0.213
"CXorf21",0.772,9.819,0.00495,0.213
"RNF149",0.674,13.98,0.00496,0.213
"TXNDC11",-0.326,11.704,0.00496,0.213
"C2CD3",-0.983,8.04,0.00498,0.214
"LOC644063",0.259,12.924,0.005,0.214
"DGCR2",0.394,13.018,0.00501,0.214
"LOC643015",0.97,3.479,0.00508,0.215
"ITPRIPL2",0.712,10.692,0.00508,0.215
"C9orf114",-0.302,9.065,0.00511,0.215
"TRMT61A",-0.409,9.189,0.00511,0.215
"AMZ1",-0.836,3.386,0.00511,0.215
"IQCD",0.704,7.144,0.00515,0.216
"ZNF813",0.536,8.728,0.00518,0.217
"CDC42EP3",0.656,10.764,0.0052,0.217
"C11orf16",0.506,6.003,0.00522,0.217
"CTLA4",-0.852,5.151,0.00523,0.217
"ELMO2",0.601,10.636,0.00524,0.217
"PAF1",-0.348,11.418,0.00525,0.217
"MARCH3",-0.737,7.027,0.00526,0.217
"GPR50",0.742,3.446,0.00526,0.217
"RPS16",-0.228,17.162,0.00529,0.217
"SERF1B",-0.257,11.257,0.00529,0.217
"WDR46",-0.26,9.649,0.00531,0.217
"ARHGEF19",-0.432,10.007,0.00532,0.217
"ANKMY1",-0.585,7.667,0.00536,0.217
"FAM45A",0.314,13.579,0.00536,0.217
"CD320",-0.564,10.504,0.00537,0.217
"CSNK1G3",-0.346,8.406,0.00538,0.217
"TRPC4AP",-0.405,10.1,0.0054,0.217
"P2RY13",0.85,10.171,0.00541,0.217
"ZNF556",0.667,3.543,0.00542,0.217
"GIMAP7",0.771,15.097,0.00543,0.217
"PEMT",-0.393,9.177,0.00544,0.217
"C14orf129",0.405,10.845,0.00544,0.217
"SDR16C5",-0.921,8.361,0.00545,0.217
"SSSCA1",-0.344,10.768,0.00548,0.217
"RNH1",0.289,16.365,0.00549,0.217
"AMMECR1L",0.519,10.134,0.00549,0.217
"KCNE3",0.509,11.071,0.00551,0.217
"TTC7A",0.274,12.268,0.00552,0.217
"LOC391132",-0.269,11.827,0.00559,0.217
"MOSC2",-0.792,5.096,0.0056,0.217
"MXD3",-0.443,9.847,0.0056,0.217
"PNMAL1",0.763,5.971,0.0056,0.217
"ARFGAP3",-0.246,11.609,0.00561,0.217
"C6orf120",0.231,8.623,0.00561,0.217
"GRIK5",0.56,5.379,0.00562,0.217
"C5orf43",0.378,10.753,0.00563,0.217
"VTI1A",-0.499,9.472,0.00565,0.217
"C11orf2",-0.392,13.254,0.00566,0.217
"OR1F2P",1.162,4.308,0.00567,0.217
"NOB1",-0.235,10.745,0.00567,0.217
"IGLL1",-1.043,12.753,0.0057,0.217
"TFCP2",0.368,10.084,0.0057,0.217
"THOC5",-0.26,9.495,0.00572,0.217
"HN1L",0.366,9.999,0.00576,0.217
"SLC43A2",0.496,11.885,0.00577,0.217
"PKN1",-0.449,10.537,0.00578,0.217
"C4orf23",-0.351,9.768,0.00578,0.217
"CREG1",0.465,11.916,0.0058,0.217
"RABGEF1",0.388,9.988,0.00581,0.217
"C1orf2",0.277,10.709,0.00582,0.217
"METTL10",-0.383,9.513,0.00584,0.217
"TMOD3",-0.267,9.065,0.00584,0.217
"WSB1",0.562,12.644,0.00585,0.217
"ELK4",-0.467,5.936,0.00586,0.217
"SLC22A5",0.6,8.222,0.00586,0.217
"LOC642424",-1.005,10.458,0.00588,0.217
"RSAD1",-0.321,11.322,0.00588,0.217
"STRADB",-0.439,9.225,0.00594,0.218
"PRRG4",0.777,7.793,0.00598,0.219
"C20orf7",-0.357,8.727,0.00599,0.219
"SELK",-0.248,13.502,0.00599,0.219
"ZIC5",0.639,5.795,0.006,0.219
"NCOA5",0.443,7.452,0.00602,0.219
"B9D1",-0.813,5.8,0.00605,0.219
"FAM71A",0.659,3.808,0.00606,0.219
"FASTKD1",0.408,9.665,0.00607,0.219
"DET1",0.495,9.837,0.0061,0.22
"VGLL1",0.689,3.279,0.00612,0.22
"RNF26",-0.288,11.364,0.00617,0.221
"CCDC85B",-0.537,11.948,0.0062,0.222
"PRKAA1",-0.368,9.009,0.00625,0.223
"ACBD6",-0.449,11.736,0.00626,0.223
"IFRD2",-0.372,10.637,0.00626,0.223
"FBXO8",0.485,9.45,0.00628,0.223
"PRKD2",-0.272,12.101,0.00629,0.223
"IFFO1",0.242,13.732,0.00631,0.223
"YIPF5",0.321,9.257,0.00633,0.223
"MAPKAP1",-0.287,9.438,0.00636,0.224
"TMEM49",0.417,12.065,0.00637,0.224
"PMPCA",-0.264,11.723,0.00638,0.224
"ZNF93",0.5,8.093,0.00641,0.224
"ABHD6",0.595,9.745,0.00641,0.224
"ARID5B",-0.515,10.844,0.00641,0.224
"ATAD3A",-0.364,10.478,0.00646,0.224
"EXOSC3",0.652,10.369,0.00647,0.224
"HTATIP2",0.276,11.397,0.00647,0.224
"DPH2",-0.276,10.459,0.00651,0.224
"ABHD14B",-0.364,10.158,0.00654,0.224
"PLA2G4A",0.91,7.382,0.00655,0.224
"MIPEP",-0.674,7.067,0.00657,0.224
"AATK",0.601,10.048,0.00657,0.224
"CD70",-0.794,9.001,0.00659,0.224
"CARD11",-0.451,11.301,0.00659,0.224
"DFNB31",-1.726,6.127,0.0066,0.224
"THSD1",-0.348,9.58,0.00662,0.224
"ZNF230",0.757,6.598,0.00662,0.224
"ZNF436",0.844,7.184,0.00665,0.224
"AHCTF1",0.438,10.679,0.00666,0.224
"C12orf5",0.301,10.362,0.00669,0.224
"JAKMIP3",-0.72,5.137,0.0067,0.224
"ST5",-1.026,4.351,0.0067,0.224
"FMNL1",-0.348,11.013,0.00671,0.224
"RPS21",-0.298,17.061,0.00671,0.224
"FBXL6",-0.461,9.641,0.00671,0.224
"C14orf113",0.888,7.564,0.00673,0.224
"NFKBIL2",-0.44,7.051,0.00675,0.224
"CALM2",0.258,15.858,0.00676,0.224
"CA1",-2.034,7.029,0.00677,0.224
"ADORA3",1.455,5.785,0.00678,0.224
"KLHDC7A",0.809,3.386,0.00679,0.224
"LOC732199",-0.412,12.488,0.00679,0.224
"S100P",-1.374,11.028,0.00681,0.224
"PEX16",-0.274,9.359,0.00681,0.224
"FPGS",-0.302,10.236,0.00683,0.224
"MLYCD",0.633,9.627,0.00683,0.224
"KIAA0409",0.285,12.32,0.0069,0.225
"CAND1",0.293,9.017,0.00693,0.225
"AK1",-0.579,9.952,0.00694,0.225
"GRN",0.389,17.18,0.00696,0.225
"APOA4",1.033,4.765,0.00697,0.225
"THAP6",0.701,8.398,0.00699,0.225
"CPSF6",-0.356,9.931,0.00699,0.225
"SLC4A9",0.765,3.948,0.00701,0.225
"CAD",-0.451,10.68,0.00703,0.225
"MPZL1",0.438,9.914,0.00703,0.225
"SLC17A5",0.701,7.25,0.00704,0.225
"TAF8",-0.665,8.195,0.00704,0.225
"LOC729806",-0.601,7.384,0.00704,0.225
"MFAP2",0.89,3.516,0.00705,0.225
"IL5RA",-0.842,3.513,0.00707,0.225
"DDX49",-0.232,9.867,0.00708,0.225
"HRSP12",-0.293,8.555,0.00711,0.225
"RNF130",0.286,14.077,0.00714,0.225
"VAMP2",-0.381,9.775,0.00718,0.225
"SNAPIN",0.31,10.948,0.00718,0.225
"SNRPE",-0.252,11.663,0.00719,0.225
"USP11",-0.45,11.392,0.00719,0.225
"LYSMD3",0.498,9.959,0.00721,0.225
"NCOA1",-0.291,11.272,0.00723,0.225
"DKFZp686E2433",0.635,6.931,0.00725,0.225
"ISCA2",0.261,12.461,0.00725,0.225
"UNC50",0.332,12.263,0.00725,0.225
"LOC729611",-0.287,12.939,0.00726,0.225
"ORM1",-1.098,7.474,0.00728,0.225
"TPD52L1",-1.179,4.77,0.00729,0.225
"NADSYN1",-0.454,11.534,0.00729,0.225
"SART1",-0.281,12.086,0.00732,0.225
"MYO1D",-0.517,6.375,0.00732,0.225
"CLASP2",0.3,10.507,0.00734,0.225
"DYM",0.251,11.577,0.00735,0.225
"SLC2A5",-0.981,7.199,0.00735,0.225
"CARD6",0.765,11.417,0.00739,0.225
"TTC22",-0.507,5.91,0.00739,0.225
"TRIM27",0.362,11.906,0.0074,0.225
"SPRYD5",-0.911,3.505,0.0074,0.225
"HPS1",-0.259,11.083,0.00742,0.225
"ZNF335",-0.408,10.283,0.00746,0.226
"C19orf48",-0.428,9.875,0.00746,0.226
"TBCCD1",0.278,7.569,0.0075,0.226
"CD93",0.489,10.503,0.0075,0.226
"HDGF2",-0.352,8.801,0.00751,0.226
"JMY",-0.547,8.347,0.00754,0.226
"CAPG",0.422,14.766,0.00758,0.227
"ADAM28",-0.701,7.965,0.00763,0.228
"RELL1",0.398,11.628,0.00771,0.229
"SLC8A2",0.982,3.724,0.00771,0.229
